0,1,2,3
"In following cases, even if parent member is provided, then it shall not be mandatory to provide the child member.",,,
,,,
,,,
Name of Table,Name of Axis,Parent member,Exempted Child member
,,,
ClassificationOfBorrowingsTable,ClassificationOfBorrowingsAxis,TermLoansFromBanksMember,RupeeTermLoansFromBanksMember
,,,ForeignCurrencyTermLoansFromBanksMember
,,,
,,TermLoansFromOthersMember,RupeeTermLoansFromOthersMember
,,,ForeignCurrencyTermLoansFromOthersMember
,,,OtherExternalCommercialBorrowingsMember
,,,
,,DeferredPaymentLiabilitiesMember,DeferredPaymentForAcquisitionOfFixedAssetsMember
,,,DeferredSalesTaxLoanMember
,,,DeferredPaymentForeignSourcesMember
,,,DeferredPaymentIndianSourcesMember
,,,
,,OtherLoansAndAdvancesMember,LoansTakenForFixedAssetsMember
,,,OtherLoansAndAdvancesOthersMember
,,,
,,LoansTakenForFixedAssetsMember,LoansTakenForVehiclesMember
,,,LoansTakenForOtherFixedAssetsMember
,,,
ClassificationOfInventoriesTable,ClassificationOfInventoriesAxis,OtherInventoriesMember,WasteMember
,,,ScrapMember
,,,OtherInventoriesOthersMember
,,,
DisclosureOfTangibleAssetsTable,ClassesOfTangibleAssetsAxis,BuildingsMember,ResidentialBuildingMember
,,,OfficeBuildingMember
,,,FactoryBuildingMember
,,,OtherBuildingMember
,,,
,,PlantAndEquipmentMember,FactoryEquipmentsMember
,,,EmissionReductionEquipmentMember
,,,OtherPollutionReductionEquipmentMember
,,,OtherPlantAndEquipmentMember
,,,
,,VehiclesMember,ShipsVesselsMember
,,,AircraftsHelicoptersMember
,,,MotorVehiclesMember
,,,
,,OfficeEquipmentMember,ComputerEquipmentsMember
,,,
,,,
DisclosureOfIntangibleAssetsTable,ClassesOfIntangibleAssetsAxis,GoodwillMember,GoodwillOnConsolidationSubsidiariesMember
,,,GoodwillOnInvestmentsJointVenturesMember
,,,
,,BrandsAndTradeMarksMember,BrandsMember
,,,TradeMarksMember
,,,
,,CopyrightsPatentsAndOtherOperatingRightsMember,CopyrightsMember
,,,PatentsMember
,,,OtherIntellectualPropertyRightsMember
,,,ServicesAndOperatingRightsMember
,,,
,,RecipesFormulaeModelsDesignsAndPrototypesMember,RecipesMember
,,,FormulaeMember
,,,ModelsMember
,,,DesignsMember
,,,PrototypesMember
,,,
,,LicensesAndFranchiseMember,LicensesMember
,,,ExplorationLicenseMember
,,,FranchiseMember
,,,
,,OtherIntangibleAssetsMember,KnowhowMember
,,,CommercialContractualRightsMember
,,,OtherIntangibleAssetsOthersMember
,,,
DisclosureOfImpairmentLossRecognisedOrReversedTable,IndividualAssetsOrCashGeneratingUnitsAxis,TotalForIndividualAssetsOrCashGeneratingUnitsMember,IndividualAssetsMember
,,,CashGeneratingUnitsMember
,,,
DetailsOfRawMaterialsSparePartsAndComponentsConsumedTable,DetailsOfRawMaterialsSparePartsAndComponentsConsumedAxis,RawMaterialsConsumedMember,RawMaterialsConsumed1Member
,,,RawMaterialsConsumed2Member
,,,RawMaterialsConsumed3Member
,,,RawMaterialsConsumed4Member
,,,RawMaterialsConsumed5Member
,,,RawMaterialsConsumed6Member
,,,RawMaterialsConsumed7Member
,,,RawMaterialsConsumed8Member
,,,RawMaterialsConsumed9Member
,,,RawMaterialsConsumed10Member
,,,RawMaterialsConsumed11Member
,,,RawMaterialsConsumed12Member
,,,RawMaterialsConsumed13Member
,,,RawMaterialsConsumed14Member
,,,RawMaterialsConsumed15Member
,,,RawMaterialsConsumed16Member
,,,RawMaterialsConsumed17Member
,,,RawMaterialsConsumed18Member
,,,RawMaterialsConsumed19Member
,,,RawMaterialsConsumed20Member
,,,
DisclosureOfContingentLiabilitiesTable,ClassesOfContingentLiabilitiesAxis,OtherContingentLiabilitiesMember,IndemnityForGuaranteesGivenByBankMember
,,,IndemnityForGuaranteesGivenByFinancialInstitutionsMember
,,,GuaranteeGivenForLetterOfCreditMember
,,,GuaranteeGivenForRelatedPartiesMember
,,,OtherGuaranteesGivenMember
,,,ContingentLiabilityOnBillDiscountedMember
,,,ContingentLiabilityOnUncalledLiabilityOnPartlyPaidUpSharesMember
,,,ContingentLiabilityOnDisputedTaxLiabilitiesRelatingToSalesServiceAndIncomeMember
,,,ContingentLiabilityOnDisputedSalesTaxMember
,,,ContingentLiabilityOnDisputedIncomeTaxMember
,,,ContingentLiabilityOnDisputedExciseDemandsMember
,,,ContingentLiabilityOnDisputedCustomDemandsMember
,,,ContingentLiabilityOnDisputedServiceTaxDemandsMember
,,,ContingentLiabilityOnOtherDisputedTaxLiabilitiesMember
,,,ContingentLiabilityOnDisputedLiabilityRelatingToEmployeesAndOtherStaffMember
,,,ContingentLiabilityRelatingToProvisionsUnderCompaniesActMember
,,,ContingentLiabilityInForeignExchangeMember
,,,ContingentLiabilitiesInRespectOfDerivativeTransactionsMember
,,,ContingentLiabilityOnLiquidatedDamagesForDelayInDeliveryOfGoodsMember
,,,ContingentLiabilityOnLeaseCommitmentsMember
,,,ContingentLiabilityOnEnvironmentalLiabilitiesMember
,,,ContingentLiabilityOnDisputedLiabilitiesPendingBeforeCourtMember
,,,ContingentLiabilitiesInRespectOfTechnologyKnowhowFeesRoyaltiesMember
,,,OtherContingentLiabilitiesOthersMember
,,,
DisclosureOfDefinedBenefitPlansTable,DefinedBenefitPlansAxis,DefinedBenefitPlansMember,ForeignDefinedBenefitPlansMember
,,,DomesticDefinedBenefitPlansMember
,,,MultiemployerDefinedBenefitPlansMember
,,,
DisclosureOfAdditionalInformationIntangibleAssetsTable,ClassesOfIntangibleAssetsAxis,GoodwillMember,GoodwillOnConsolidationSubsidiariesMember
,,,GoodwillOnInvestmentsJointVenturesMember
,,,
,,BrandsAndTradeMarksMember,BrandsMember
,,,TradeMarksMember
,,,
,,CopyrightsPatentsAndOtherOperatingRightsMember,CopyrightsMember
,,,PatentsMember
,,,OtherIntellectualPropertyRightsMember
,,,ServicesAndOperatingRightsMember
,,,
,,RecipesFormulaeModelsDesignsAndPrototypesMember,RecipesMember
,,,FormulaeMember
,,,ModelsMember
,,,DesignsMember
,,,PrototypesMember
,,,
,,LicensesAndFranchiseMember,LicensesMember
,,,ExplorationLicenseMember
,,,FranchiseMember
,,,
,,OtherIntangibleAssetsMember,KnowhowMember
,,,CommercialContractualRightsMember
,,,OtherIntangibleAssetsOthersMember
,,,
DisclosureOfAdditionalInformationTangibleAssetsTable,ClassesOfTangibleAssetsAxis,BuildingsMember,ResidentialBuildingMember
,,,OfficeBuildingMember
,,,FactoryBuildingMember
,,,OtherBuildingMember
,,,
,,PlantAndEquipmentMember,FactoryEquipmentsMember
,,,EmissionReductionEquipmentMember
,,,OtherPollutionReductionEquipmentMember
,,,OtherPlantAndEquipmentMember
,,,
,,VehiclesMember,ShipsVesselsMember
,,,AircraftsHelicoptersMember
,,,MotorVehiclesMember
,,,
,,OfficeEquipmentMember,ComputerEquipmentsMember
,,,
,,,
