0,1,2
,,
"In following cases, even if immediate child member is provided then it shall not be mandatory to provide the parent member.",,
,,
Name of Table,Name of Axis,Exempted parent member
DisclosureOfPrimaryReportableSegmentsTable,EnterprisesPrimaryReportableSegmentsAxis,PrimaryReportableSegmentsMember
DisclosureOfSecondaryReportableSegmentsTable,EnterprisesSecondaryReportableSegmentsAxis,SecondaryReportableSegmentsMember
DisclosureOfImpairmentOfAssetsInPrimarySegmentDisclosureFormatTable,PrimaryReportableSegmentsAxis,PrimaryReportableSegmentsMember
DisclosureOfImpairmentLossRecognisedOrReversedTable,PrimaryReportableSegmentsAxis,PrimaryReportableSegmentsMember
DisclosureOfMinimumFinanceLeasePaymentsAndPresentValueByLesseeTable,MaturityAxis,AggregatedTimeBandsMember
DisclosureOfMinimumOperatingLeasePaymentsByLesseeTable,MaturityAxis,AggregatedTimeBandsMember
DisclosureOfGrossInvestmentInLeaseAndPresentValueOfMinimumLeasePaymentsReceivableInFinanceLeaseByLessorTable,MaturityAxis,AggregatedTimeBandsMember
DisclosureOfFutureMinimumLeasePaymentsReceivableUnderNonCancellableOperatingLeasesByLessorTable,MaturityAxis,AggregatedTimeBandsMember
DetailsOfRawMaterialsConsumedTable,CategoriesOfRawMaterialsConsumedAxis,RawMaterialsConsumedMember
DetailsOfGoodsPurchasedTable,CategoriesOfGoodsPurchasedAxis,GoodsPurchasedMember
DetailsOfManufacturedAndTradedGoodsTable,CategoriesOfManufacturedAndTradedGoodsAxis,ManufacturedAndTradedGoodsMember
DetailsOfManufacturedAndTradedGoodsTable,CategoriesOfManufacturedAndTradedGoodsAxis,ManufacturedGoodsMember
DetailsOfManufacturedAndTradedGoodsTable,CategoriesOfManufacturedAndTradedGoodsAxis,TradedGoodsMember
DetailsOfWorkInProgressTable,CategoriesOfWorkInProgressAxis,WorkInProgressMember
DetailsOfPurchasesAndSalesOfTradingCompaniesTable,CategoriesOfTradedGoodsAxis,TradedGoodsMember
DetailsOfRawMaterialsSparePartsAndComponentsConsumedTable,DetailsOfRawMaterialsSparePartsAndComponentsConsumedAxis,RawMaterialsSparePartsAndComponentsConsumedMember
DetailsOfRawMaterialsSparePartsAndComponentsConsumedTable,DetailsOfRawMaterialsSparePartsAndComponentsConsumedAxis,RawMaterialsConsumedMember
DetailsOfRawMaterialsSparePartsAndComponentsConsumedTable,SubclassificationOfRawMaterialsSparePartsAndComponentsConsumedAxis,ImportedAndIndigenousMember
ClassificationOfBorrowingsTable,SubclassificationOfBorrowingsAxis,SecuredUnsecuredBorrowingsMember
ClassificationOfBorrowingsTable,ClassificationOfBorrowingsAxis,BorrowingsMember
ClassificationOfBorrowingsTable,ClassificationOfBorrowingsAxis,BondsDebenturesMember
ClassificationOfBorrowingsTable,ClassificationOfBorrowingsAxis,TermLoansMember
ClassificationOfBorrowingsTable,ClassificationOfBorrowingsAxis,LoansRepayableOnDemandMember
ClassificationOfBorrowingsTable,ClassificationOfBorrowingsAxis,DepositsMember
LoansAndAdvancesTable,ClassificationOfLoansAndAdvancesAxis,LoansAndAdvancesMember
LoansAndAdvancesTable,ClassificationOfLoansAndAdvancesAxis,LoansAndAdvancesToRelatedPartiesMember
LoansAndAdvancesTable,ClassificationOfLoansAndAdvancesAxis,OtherLoansAndAdvancesMember
,,
DisclosureOfDetailsOfPreproducingPropertiesTable,ClassesOfPreproducingPropertiesAxis,CompanyTotalOfPreproducingPropertiesMember
DisclosureOfTangibleAssetsTable,SubClassesOfTangibleAssetsAxis,OwnedAndLeasedAssetsMember
,,
DisclosureOfIntangibleAssetsTable,SubClassesOfIntangibleAssetsAxis,InternallyGeneratedAndOtherThanInternallyGeneratedIntangibleAssetsMember
DisclosureOfAdditionalInformationIntangibleAssetsTable,SubClassesOfIntangibleAssetsAxis,InternallyGeneratedAndOtherThanInternallyGeneratedIntangibleAssetsMember
DisclosureOfInformationOnMaterialIndividualIntangibleAssetsTable,MaterialIndividualIntangibleAssetsAxis,MaterialIndividualIntangibleAssetsMember
DisclosureOfImpairmentLossAndReversalOfImpairmentLossTable,ClassesOfAssetsAxis,ClassesOfAssetsMember
DisclosureOfImpairmentLossRecognisedOrReversedTable,ClassesOfAssetsAxis,ClassesOfAssetsMember
DisclosureOfImpairmentLossRecognisedOrReversedTable,IndividualAssetsOrCashGeneratingUnitsAxis,TotalForIndividualAssetsOrCashGeneratingUnitsMember
DisclosureOfOtherProvisionsTable,ClassesOfOtherProvisionsAxis,CompanyTotalOtherProvisionsMember
DisclosureOfContingentLiabilitiesTable,ClassesOfContingentLiabilitiesAxis,CompanyTotalContingentLiabilitiesMember
DisclosureOfNumberAndWeightedAverageExercisePricesOfStockOptionsTable,GroupsOfStockOptionsAxis,StockOptionsMember
DisclosureOfAuditorsQualificationsReservationsOrAdverseRemarksInAuditorsReportTable,AuditorsQualificationsReservationsOrAdverseRemarksInAuditorsReportAxis,AuditorsRemarkMember
,,
DisclosureOfAdditionalInformationIntangibleAssetsTable,ClassesOfIntangibleAssetsAxis,GoodwillMember
,,BrandsAndTradeMarksMember
,,ComputerSoftwareMember
,,MastheadsAndPublishingTitlesMember
,,MiningRightsMember
,,CopyrightsPatentsAndOtherOperatingRightsMember
,,RecipesFormulaeModelsDesignsAndPrototypesMember
,,LicensesAndFranchiseMember
,,OtherIntangibleAssetsMember
,,
DisclosureOfAdditionalInformationTangibleAssetsTable,ClassesOfTangibleAssetsAxis,LandMember
,,BuildingsMember
,,PlantAndEquipmentMember
,,FurnitureAndFixturesMember
,,VehiclesMember
,,OfficeEquipmentMember
,,LeaseholdImprovementsMember
,,OtherTangibleAssetsMember
,,
DisclosureOfAdditionalInformationTangibleAssetsTable,SubClassesOfTangibleAssetsAxis,OwnedAndLeasedAssetsMember
,,
DisclosureOfBreakupOfProvisionsTable,ClassificationBasedOnTimePeriodAxis,ClassificationBasedOnTimePeriodMember
,,
ClassificationOfBorrowingsTable,ClassificationBasedOnTimePeriodAxis,ClassificationBasedOnTimePeriodMember
,,
LoansAndAdvancesTable,ClassificationBasedOnTimePeriodAxis,ClassificationBasedOnTimePeriodMember
,,
SubclassificationOfTradeReceivablesTable,ClassificationOfAssetsBasedOnSecurityAxis,ClassificationOfAssetsBasedOnSecurityMember
,,
LoansAndAdvancesTable,ClassificationOfAssetsBasedOnSecurityAxis,ClassificationOfAssetsBasedOnSecurityMember
,,
ClassificationOfLongTermTradeReceivablesTable,ClassificationOfAssetsBasedOnSecurityAxis,ClassificationOfAssetsBasedOnSecurityMember
,,
DisclosureOfShareholdingMoreThanFivePerCentInCompanyTable,ClassesOfShareCapitalAxis,ShareCapitalMember
