0,1,2
"Mandatory elements (line items) in the following dimensions (i.e. for cases where any member is defined in the dimension). These shall be optional in case exempted as per Calculation linkbase (parent-child validation) or in case 'NotAll' relationship is applicable as per the taxonomy.

Other line items shall be mandatory in case these are mandatory as per Calculation linkbase (parent-child validation) unless exempted.",,
,,
S. No.,Table Name,Mandatory elements (Line items)
1,DisclosureOfClassesOfShareCapital' in Notes - Share capital ,"Mandatory elements are - 
TypeOfShare
NumberOfSharesAuthorised,
ValueOfSharesAuthorised,
 NumberOfSharesIssued, 
ValueOfSharesIssued,
 NumberOfSharesSubscribedAndFullyPaid, 
ValueOfSharesSubscribedAndFullyPaid, 
NumberOfSharesSubscribedButNotFullyPaid, 
ValueOfSharesSubscribedButNotFullyPaid, 
NumberOfSharesSubscribed, 
ValueOfSharesSubscribed,
 NumberOfSharesPaidUp, 
ValueOfSharesCalled, 
ValueOfSharesPaidUp,
ParValuePerShare, 
AmountPerShareCalledInCaseSharesNotFullyCalled
NumberOfSharesOutstanding (Closing)
IncreaseDecreaseInNumberOfSharesOutstanding
ShareCapital (Closing)   
IncreaseDecreaseInShareCapital "
2,DisclosureOfShareholdingMoreThanFivePerCentInCompany,"Mandatory elements are -
TypeOfShare,
NameOfShareholder,
CountryOfIncorporationOrResidenceOfShareholder, 
NumberOfSharesHeldInCompany, 
PercentageOfShareholdingInCompany,
"
3,StatementOfChangesInReserves,"Mandatory elements are - 
ChangesInReserves and Reserves(Closing)"
4,ClassificationOfBorrowings ,"Elements mandatory are - Borrowings
"
5,DetailsOfBondsOrDebentures,"All elements are mandatory except -

NominalAmountOfBondsOrDebenturesHeldByNomineeOrTrusteeOfCompany 
BookValueOfBondsOrDebenturesHeldByNomineeOrTrusteeOfCompany, 
EarliestDateOfRedemption, 
NumberOfAllotteesToWhomBondsOrDebenturesWereIssued, 
AmountOfBondsOrDebenturesIssuedDuringPeriod"
6,DetailsOfNoncurrentInvestmentsTable,"Elements mandatory are - 

TypeOfNoncurrentInvestments,
ClassOfNoncurrentInvestments
NoncurrentInvestments,
NameOfBodyCorporateInWhomInvestmentHasBeenMade"
7,DetailsOfCurrentInvestmentsTable ,"Elements mandatory are -

TypeOfCurrentInvestments,
ClassOfCurrentInvestments,
CurrentInvestments,
BasisOfValuationOfCurrentInvestments
NameOfBodyCorporateInWhomInvestmentHasBeenMade"
8,DisclosureOfBreakupOfProvisionsTable,"Element for 'Provisions' is mandatory.
CSRExpenditureProvision
"
9,LoansAndAdvancesTable ,"Elements mandatory are - 

LoansAndAdvancesGross
AllowanceForBadAndDoubtfulLoansAndAdvances,
LoansAndAdvances,
LoansAndAdvancesDueByDirectors
LoansAndAdvancesDueByOtherOfficers,
LoansAndAdvancesDueByFirmsOrCompaniesInWhichAnyDirectorIsPartnerOrDirector"
10,ClassificationOfLongTermTradeReceivablesTable,"Mandatory elements are:

LongTermTradeReceivablesGross
AllowancesForBadAndDoubtfulDebts
LongTermTradeReceivables
LongTermTradeReceivablesDueByDirectors
LongTermTradeReceivablesDueByOtherOfficers
LongTermTradeReceivablesDueByFirmsOrCompaniesInWhichAnyDirectorIsPartnerOrDirector"
11,ClassificationOfInventoriesTable ,"Mandatory Elements are: 

Inventories, 
ModeOfValuation"
12,SubclassificationOfTradeReceivablesTable ,"Mandatory elements are ;

TradeReceivablesGross, 
AllowanceForBadAndDoubtfulDebts,
TradeReceivables
TradeReceivablesDueByDirectors
TradeReceivablesDueByOtherOfficers
TradeReceivablesDueByFirmsOrCompaniesInWhichAnyDirectorIsPartnerOrDirector"
13,DetailsOfDisclosuresRequiredUnderMSMEDAct2006,All elements are mandatory except CINOfMicroSmallAndMediumEnterprise
14,DisclosureOfTangibleAssetsTable ,Elements mandatory are - ChangesInTangibleAssets and TangibleAssets(closing)
15,DisclosureOfAdditionalInformationTangibleAssetsTable,"Elements mandatory-DepreciationMethodTangibleAssets, UsefulLivesOrDepreciationRatesTangibleAssets"
16,DisclosureOfIntangibleAssetsTable,"Elements mandatory are -ChangesInIntangibleAssets, IntangibleAssets(closing)"
17,DisclosureOfAdditionalInformationIntangibleAssetsTable,"Elements mandatory are -UsefulLivesOrAmortizationRatesIntangibleAssets,DescriptionOfAmortizationMethodUsed"
18,DisclosureOfPrimaryReportableSegmentsTable ,"Mandatory elements are -

NatureOfPrimaryReportableSegment, 
RevenuePrimaryReportableSegment, 
SegmentResultPrimaryReportableSegment, 
AssetsPrimaryReportableSegment, 
LiabilitiesPrimaryReportableSegment
DescriptionOfTypesOfProductsAndServicesIncludedInEachReportedSegmentPrimaryReportableSegment
"
19,DisclosureOfSecondaryReportableSegmentsTable ,"Mandatory elements are-

NatureOfSecondaryReportableSegment
RevenueSecondaryReportableSegment
SegmentResultSecondaryReportableSegment
AssetsSecondaryReportableSegment
LiabilitiesSecondaryReportableSegment
DescriptionOfTypesOfProductsAndServicesIncludedInEachReportedSegmentSecondaryReportableSegment
"
20,DisclosureOfRelationshipAndTransactionsBetweenRelatedParties' in Notes - Related party,"Mandatory elements are - 
NameOfRelatedParty, 
CountryOfIncorporationOrResidenceOfRelatedParty, 
DescriptionOfNatureOfRelatedPartyRelationship, 
DescriptionOfNatureOfTransactionsWithRelatedParty, 
Atleast one element in RelatedPartyTransactionsAbstract
In OutstandingBalancesForRelatedPartyTransactionsAbstract- Element for amount shall be mandatory for various transactions, 
AmountWrittenOffDuringPeriodInRespectOfDebtsDueFromRelatedParties, 
AmountWrittenBackDuringPeriodInRespectOfDebtsDueToRelatedParties"
21,DisclosureOfAmalgamationsTable,"Mandatory elements are - 

NameOfAmalgamatingCompany, 
CountryOfIncorporationOrResidenceOfAmalgamatingCompany, 
GeneralNatureOfBusinessOfAmalgamatingCompany
EffectiveDateOfAmalgamationForAccountingPurposes
MethodOfAccountingUsedToReflectAmalgamation"
22,DescriptionOfInformationOfAssociatesTable,"Mandatory elements are:

MethodOfAccountingUsed
NameOfAssociate, 
CountryOfIncorporationOrResidenceAssociate,
DescriptionOfAssociates,
DescriptionOfProportionOfOwnershipInterest,
DescriptionOfProportionOfVotingPower
WhetherAssociateHasBeenConsideredInConsolidation"
23,DisclosureOfInterestsInSignificantJointVenturesTable,"Mandatory elements are: 

FormOfJointVenture,
NameOfJointlyControlledEntity,
CountryOfIncorporationOrResidenceOfJointlyControlledEntity,
ProportionOfOwnershipInterestInJointlyControlledEntity
WhetherJointVentureHasBeenConsideredInConsolidation"
