0,1,2
,,
ELR/ Element Name,Business Rule,
[100100] Balance sheet,,
ClassesOfAssetsMember,,
name,,
BalanceSheetAbstract,,
EquityAndLiabilitiesAbstract,,
ShareholdersFundsAbstract,,
ShareCapital,"It is a mandatory field.
Should be less than or equal to ""Value of shares subscribed - equity + Preference"". 

Should be equal to zero in case of company not having share capital.
In case of section 8 company- If the company not having share capital then it should always zero.  But If the company having share capital then it should always be greater than zero.
Status of the company (Pvt/Public/Section 8) to be checked on the Date of end of reporting period",
ReservesAndSurplus,This is a mandatory field.,
MoneyReceivedAgainstShareWarrants,,
ShareholdersFunds,,
ShareApplicationMoneyPendingAllotment,This is a mandatory field. ,
DeferredGovernmentGrants,,
MinorityInterest,Mandatory in case of Consolidated Financial statement instance document.,
NoncurrentLiabilitiesAbstract,,
LongTermBorrowings,This is a mandatory field. Should be greater than or equal to zero,
DeferredTaxLiabilitiesNet,,
ForeignCurrencyMonetaryItemTranslationDifferenceLiabilityAccount,,
OtherLongTermLiabilities,,
LongTermProvisions,This is a mandatory field. ,
NoncurrentLiabilities,This is a mandatory field,
CurrentLiabilitiesAbstract,,
ShortTermBorrowings,This is a mandatory field. Should be greater than or equal to zero,
TradePayables,This is a mandatory field.  Should be greater than equal to zero.,
OtherCurrentLiabilities,,
ShortTermProvisions,This is a mandatory field. ,
CurrentLiabilities,This is a mandatory field.,
EquityAndLiabilities,Should be equal to value entered in element 'Assets' in Balance sheet,
AssetsAbstract,,
NoncurrentAssetsAbstract,,
FixedAssetsAbstract,,
TangibleAssets,It is a mandatory field. Should be greater than equal to zero. ,
ProducingProperties,,
IntangibleAssets,It is a mandatory field. Should be greater than equal to zero. ,
PreproducingProperties,,
TangibleAssetsCapitalWorkInProgress,,
IntangibleAssetsUnderDevelopmentOrWorkInProgress,,
FixedAssets,It is a mandatory field. Should be greater than equal to zero. ,
NoncurrentInvestments,This is a mandatory field. Should be greater than equal to zero. ,
DeferredTaxAssetsNet,,
ForeignCurrencyMonetaryItemTranslationDifferenceAssetAccount,,
LongTermLoansAndAdvances,This is a mandatory field,
OtherNoncurrentAssets,,
