role,tableQ,label,axisCount,lineItemCount,axes
[200100] Notes - Share capital,in-gaap:DisclosureOfClassesOfShareCapitalTable,Disclosure of classes of share capital [Table],1,101,['in-gaap:ClassesOfShareCapitalAxis']
[200100a] Notes - Share capital,in-gaap:DisclosureOfShareholdingMoreThanFivePerCentInCompanyTable,Disclosure of shareholding more than five per cent in company [Table],2,7,"['in-gaap:ClassesOfShareCapitalAxis', 'in-gaap:NameOfShareholderAxis']"
[200200] Notes - Reserves and surplus,in-gaap:StatementOfChangesInReservesTable,Statement of changes in reserves [Table],1,40,['in-gaap:ComponentsOfReservesAxis']
[200300] Notes - Borrowings,in-gaap:ClassificationOfBorrowingsTable,Classification of borrowings [Table],3,0,"['in-gaap:ClassificationBasedOnTimePeriodAxis', 'in-gaap:ClassificationOfBorrowingsAxis', 'in-gaap:SubclassificationOfBorrowingsAxis']"
[200600] Notes - Subclassification and notes on liabilities and assets,in-gaap:DisclosureOfBreakupOfProvisionsTable,Disclosure of breakup of provisions [Table],1,32,['in-gaap:ClassificationBasedOnTimePeriodAxis']
[200600c] Notes - Subclassification and notes on liabilities and assets,in-gaap:LoansAndAdvancesTable,Loans and advances [Table],3,0,"['in-gaap:ClassificationBasedOnTimePeriodAxis', 'in-gaap:ClassificationOfLoansAndAdvancesAxis', 'in-gaap:ClassificationOfAssetsBasedOnSecurityAxis']"
[200300a] Notes - Borrowings,in-gaap:DetailsOfBondsOrDebenturesTable,Details of bonds or debentures [Table],1,12,['in-gaap:DetailsOfBondsOrDebenturesAxis']
[200400] Notes - Non-current investments,in-gaap:DetailsOfNoncurrentInvestmentsTable,Details of non-current investments [Table],1,19,['in-gaap:ClassificationOfNoncurrentInvestmentsAxis']
[200401] Notes - Non-current investments/total,in-gaap:DetailsOfNoncurrentInvestmentsTable,Details of non-current investments [Table],0,1,[]
[200500] Notes - Current investments,in-gaap:DetailsOfCurrentInvestmentsTable,Details of current investments [Table],1,18,['in-gaap:ClassificationOfCurrentInvestmentsAxis']
[200501] Notes - Current investments/total,in-gaap:DetailsOfCurrentInvestmentsTable,Details of current investments [Table],0,1,[]
[200600a] Notes - Subclassification and notes on liabilities and assets,in-gaap:DisclosureOfDetailsOfProducingPropertiesTable,Disclosure of details of producing properties [Table],1,0,['in-gaap:DetailsOfProducingPropertiesAxis']
[200600b] Notes - Subclassification and notes on liabilities and assets,in-gaap:DisclosureOfDetailsOfPreproducingPropertiesTable,Disclosure of details of preproducing properties [Table],2,0,"['in-gaap:ClassesOfPreproducingPropertiesAxis', 'in-gaap:DetailsOfPreproducingPropertiesAxis']"
[200600d] Notes - Subclassification and notes on liabilities and assets,in-gaap:ClassificationOfLongTermTradeReceivablesTable,Classification of long-term trade receivables [Table],1,0,['in-gaap:ClassificationOfAssetsBasedOnSecurityAxis']
[200600f] Notes - Subclassification and notes on liabilities and assets,in-gaap:SubclassificationOfTradeReceivablesTable,Subclassification of trade receivables [Table],1,13,['in-gaap:ClassificationOfAssetsBasedOnSecurityAxis']
[200600e] Notes - Subclassification and notes on liabilities and assets,in-gaap:ClassificationOfInventoriesTable,Classification of inventories [Table],1,0,['in-gaap:ClassificationOfInventoriesAxis']
[300600c] Notes - Additional information statement of profit and loss,in-gaap:DetailsOfWorkInProgressTable,Details of work-in-progress [Table],1,2,['in-gaap:CategoriesOfWorkInProgressAxis']
[200600g] Notes - Subclassification and notes on liabilities and assets,in-ca:DisclosureOfDetailsOfBalancesWithBanksTable,Disclosure of details of balances with banks [Table],1,0,['in-ca:DetailsOfBalancesWithBanksAxis']
[200600h] Notes - Subclassification and notes on liabilities and assets,in-ca:DisclosureOfDetailsOfBalancesWithForeignBanksTable,Disclosure of details of balances with foreign banks [Table],1,0,['in-ca:DetailsOfBalancesWithForeignBanksAxis']
[200700] Notes - Additional disclosures on balance sheet,in-gaap:DetailsOfDisclosuresRequiredUnderMSMEDAct2006Table,Details of disclosures required under MSMED Act 2006 [Table],1,12,['in-gaap:MicroSmallMediumEnterprisesAxis']
[200700a] Notes - Additional disclosures on balance sheet,in-gaap:AcquisitionAndDisposalOfInvestmentsTable,Acquisition and disposal of investments [Table],1,7,['in-gaap:AcquisitionAndDisposalOfInvestmentsAxis']
[200700b] Notes - Additional disclosures on balance sheet,in-ca:DetailsOfShareholdingPatternOfPromotersAndPublicTable,Details of shareholding pattern of promoters and public [Table],2,30,"['in-ca:ShareholdingPatternOfPromotersAndPublicAxis', 'in-ca:ClassificationBasedOnNationalityOrOriginAxis']"
[400400d] Disclosures - Directors report,in-ca:DetailsOfShareholdingPatternTable,Details of shareholding pattern [Table],1,5,['in-ca:ShareholdingPatternAxis']
[201000] Notes - Tangible assets,in-gaap:DisclosureOfTangibleAssetsTable,Disclosure of tangible assets [Table],3,19,"['in-gaap:ClassesOfTangibleAssetsAxis', 'in-gaap:SubClassesOfTangibleAssetsAxis', 'in-gaap:CarryingAmountAccumulatedDepreciationAndGrossCarryingAmountAxis']"
[201000a] Notes - Tangible assets,in-gaap:DisclosureOfAdditionalInformationTangibleAssetsTable,Disclosure of additional information tangible assets [Table],2,18,"['in-gaap:ClassesOfTangibleAssetsAxis', 'in-gaap:SubClassesOfTangibleAssetsAxis']"
[201100] Notes - Intangible assets,in-gaap:DisclosureOfIntangibleAssetsTable,Disclosure of intangible assets [Table],3,23,"['in-gaap:ClassesOfIntangibleAssetsAxis', 'in-gaap:SubClassesOfIntangibleAssetsAxis', 'in-gaap:CarryingAmountAccumulatedAmortizationAndImpairmentAndGrossCarryingAmountAxis']"
[201100a] Notes - Intangible assets,in-gaap:DisclosureOfAdditionalInformationIntangibleAssetsTable,Disclosure of additional information intangible assets [Table],2,11,"['in-gaap:ClassesOfIntangibleAssetsAxis', 'in-gaap:SubClassesOfIntangibleAssetsAxis']"
[201100b] Notes - Intangible assets,in-gaap:DisclosureOfInformationOnMaterialIndividualIntangibleAssetsTable,Disclosure of information on material individual intangible assets [Table],1,3,['in-gaap:MaterialIndividualIntangibleAssetsAxis']
[201200] Notes - Employee benefits,in-gaap:DisclosureOfDefinedBenefitPlansTable,Disclosure of defined benefit plans [Table],2,97,"['in-gaap:DefinedBenefitPlansAxis', 'in-gaap:DefinedBenefitPlansCategoriesAxis']"
[201300] Notes - Segments,in-gaap:DisclosureOfPrimaryReportableSegmentsTable,Disclosure of primary reportable segments [Table],1,20,['in-gaap:EnterprisesPrimaryReportableSegmentsAxis']
[201500a] Notes - Impairment,in-gaap:DisclosureOfImpairmentOfAssetsInPrimarySegmentDisclosureFormatTable,Disclosure of impairment of assets in primary segment disclosure format [Table],1,4,['in-gaap:PrimaryReportableSegmentsAxis']
[201500b] Notes - Impairment,in-gaap:DisclosureOfImpairmentLossRecognisedOrReversedTable,Disclosure of impairment loss recognised or reversed [Table],3,11,"['in-gaap:IndividualAssetsOrCashGeneratingUnitsAxis', 'in-gaap:ClassesOfAssetsAxis', 'in-gaap:PrimaryReportableSegmentsAxis']"
[201300a] Notes - Segments,in-gaap:DisclosureOfSecondaryReportableSegmentsTable,Disclosure of secondary reportable segments [Table],1,20,['in-gaap:EnterprisesSecondaryReportableSegmentsAxis']
[201300b] Notes - Segments,in-gaap:AdditionalGeographicalDisclosureOfRevenueFromCustomersBasedOnCustomerLocationTable,Additional geographical disclosure of revenue from customers based on customer location [Table],1,0,['in-gaap:GeographicalDisclosureOfRevenueFromCustomersBasedOnCustomerLocationAxis']
[201300c] Notes - Segments,in-gaap:AdditionalGeographicalDisclosureOfDetailsOnAssetsBasedOnLocationOfAssetsTable,Additional geographical disclosure of details on assets based on location of assets [Table],1,0,['in-gaap:GeographicalDisclosureOfDetailsOnAssetsBasedOnLocationOfAssetsAxis']
[201400] Notes - Leases,in-gaap:DisclosureOfMinimumFinanceLeasePaymentsAndPresentValueByLesseeTable,Disclosure of minimum finance lease payments and present value by lessee [Table],1,0,['in-gaap:MaturityAxis']
[201400a] Notes - Leases,in-gaap:DisclosureOfMinimumOperatingLeasePaymentsByLesseeTable,Disclosure of minimum operating lease payments by lessee [Table],1,0,['in-gaap:MaturityAxis']
[201400b] Notes - Leases,in-gaap:DisclosureOfGrossInvestmentInLeaseAndPresentValueOfMinimumLeasePaymentsReceivableInFinanceLeaseByLessorTable,Disclosure of gross investment in lease and present value of minimum lease payments receivable in finance lease by lessor [Table],1,0,['in-gaap:MaturityAxis']
[201400c] Notes - Leases,in-gaap:DisclosureOfFutureMinimumLeasePaymentsReceivableUnderNonCancellableOperatingLeasesByLessorTable,Disclosure of future minimum lease payments receivable under non cancellable operating leases by lessor [Table],1,1,['in-gaap:MaturityAxis']
[201500] Notes - Impairment,in-gaap:DisclosureOfImpairmentLossAndReversalOfImpairmentLossTable,Disclosure of impairment loss and reversal of impairment loss [Table],1,6,['in-gaap:ClassesOfAssetsAxis']
[201600] Notes - Related party,in-gaap:DisclosureOfRelationshipAndTransactionsBetweenRelatedPartiesTable,Disclosure of relationship and transactions between related parties [Table],1,107,['in-gaap:CategoriesOfRelatedPartiesAxis']
[201601] Notes - Related party/total,in-gaap:DisclosureOfRelationshipAndTransactionsBetweenRelatedPartiesTable,Disclosure of relationship and transactions between related parties [Table],0,4,[]
[202000] Notes - Discontinuing operations,in-gaap:DisclosureOfDiscontinuedOperationsTable,Disclosure of discontinuing operations [Table],1,33,['in-gaap:DisclosureOfDiscontinuedOperationsAxis']
[202001] Notes - Discontinuing operations/total,in-gaap:DisclosureOfDiscontinuedOperationsTable,Disclosure of discontinuing operations [Table],0,3,[]
"[202100] Notes - Other provisions, contingent liabilities and contingent assets",in-gaap:DisclosureOfOtherProvisionsTable,Disclosure of other provisions [Table],1,14,['in-gaap:ClassesOfOtherProvisionsAxis']
"[202100a] Notes - Other provisions, contingent liabilities and contingent assets",in-gaap:DisclosureOfContingentLiabilitiesTable,Disclosure of contingent liabilities [Table],1,5,['in-gaap:ClassesOfContingentLiabilitiesAxis']
[202300] Notes - Amalgamation,in-gaap:DisclosureOfAmalgamationsTable,Disclosure of amalgamations [Table],1,20,['in-gaap:AmalgamationsAxis']
[202400] Notes - Investments in associates,in-gaap:DescriptionOfInformationOfAssociatesTable,Description of information of associates [Table],1,33,['in-gaap:InvestmentsInAssociatesAxis']
[202400a] Notes - Investments in associates,in-ca:DetailsOfAssociatesWhichAreYetToCommenceOperationsTable,Details of associates which are yet to commence operations [Table],1,6,['in-gaap:AssociatesWhichAreYetToCommenceOperationsAxis']
[202400b] Notes - Investments in associates,in-ca:DetailsOfAssociatesLiquidatedOrSoldDuringYearTable,Details of associates liquidated or sold during year [Table],1,6,['in-gaap:AssociatesLiquidatedOrSoldDuringYearAxis']
[202500] Notes - Financial reporting of interests in joint ventures,in-gaap:DisclosureOfInterestsInSignificantJointVenturesTable,Disclosure of interests in significant joint ventures [Table],1,18,['in-gaap:InterestsInSignificantJointVenturesAxis']
[202500a] Notes - Financial reporting of interests in joint ventures,in-ca:DetailsOfJointVenturesWhichAreYetToCommenceOperationsTable,Details of joint ventures which are yet to commence operations [Table],1,6,['in-gaap:JointVenturesWhichAreYetToCommenceOperationsAxis']
[202500b] Notes - Financial reporting of interests in joint ventures,in-ca:DetailsOfJointVenturesLiquidatedOrSoldDuringYearTable,Details of joint ventures liquidated or sold during year [Table],1,6,['in-gaap:JointVenturesLiquidatedOrSoldDuringYearAxis']
[202600] Notes - Consolidated financial statements,in-gaap:DisclosureOfDetailsOfSubsidiariesTable,Disclosure of details of subsidiaries [Table],1,10,['in-gaap:SubsidiariesAxis']
[202600a] Notes - Consolidated financial statements,in-gaap:DisclosureOfDetailsOfEntitiesConsolidatedTable,Disclosure of details of entities consolidated [Table],1,0,['in-gaap:EntitiesConsolidatedAxis']
[202800] Notes - Subsidiary information,in-ca:DetailsOfSubsidiariesTable,Details of subsidiaries [Table],1,28,['in-gaap:SubsidiariesAxis']
[202800a] Notes - Subsidiary information,in-ca:DetailsOfSubsidiariesWhichAreYetToCommenceOperationsTable,Details of subsidiaries which are yet to commence operations [Table],1,6,['in-gaap:SubsidiariesWhichAreYetToCommenceOperationsAxis']
[202800b] Notes - Subsidiary information,in-ca:DetailsOfSubsidiariesLiquidatedOrSoldDuringYearTable,Details of subsidiaries liquidated or sold during year [Table],1,6,['in-gaap:SubsidiariesLiquidatedOrSoldDuringYearAxis']
[300400] Notes - Employee share-based payments,in-gaap:DisclosureOfTermsAndConditionsOfEmployeeSharebasedPaymentArrangementTable,Disclosure of terms and conditions of employee share-based payment arrangement [Table],1,9,['in-gaap:TypesOfEmployeeSharebasedPaymentArrangementsAxis']
[300400a] Notes - Employee share-based payments,in-gaap:DisclosureOfNumberAndWeightedAverageExercisePricesOfStockOptionsTable,Disclosure of number and weighted average exercise prices of stock options [Table],1,2,['in-gaap:GroupsOfStockOptionsAxis']
[300400b] Notes - Employee share-based payments,in-gaap:DisclosureOfNumberAndWeightedAverageRemainingContractualLifeOfOutstandingStockOptionsTable,Disclosure of number and weighted average remaining contractual life of outstanding stock options [Table],1,2,['in-gaap:RangesOfExercisePricesForOutstandingStockOptionsAxis']
[300600] Notes - Additional information statement of profit and loss,in-gaap:DetailsOfRawMaterialsConsumedTable,Details of raw materials consumed [Table],1,2,['in-gaap:CategoriesOfRawMaterialsConsumedAxis']
[300600a] Notes - Additional information statement of profit and loss,in-gaap:DetailsOfGoodsPurchasedTable,Details of goods purchased [Table],1,2,['in-gaap:CategoriesOfGoodsPurchasedAxis']
[300600b] Notes - Additional information statement of profit and loss,in-gaap:DetailsOfManufacturedAndTradedGoodsTable,Details of manufactured and traded goods [Table],1,4,['in-gaap:CategoriesOfManufacturedAndTradedGoodsAxis']
[300600d] Notes - Additional information statement of profit and loss,in-gaap:DetailsOfPurchasesAndSalesOfTradingCompaniesTable,Details of purchases and sales of trading companies [Table],1,3,['in-gaap:CategoriesOfTradedGoodsAxis']
